,x,y,word,cluster
602,-96.57492,1.524201,evaluación,13
603,-82.88221,-13.51855,etapa,18
604,-39.82014,-51.228676,contrario,14
605,-71.4681,36.82325,revista,0
606,-49.74399,64.56224,transformar,3
607,-28.581972,79.78944,diálogo,19
608,-59.44262,-48.02604,informativo,14
609,-54.863396,31.343742,principalmente,3
610,-71.12347,-48.355515,procedimiento,18
611,-91.456535,37.766136,historiador,6
612,-74.84403,-31.268536,analizado,18
613,-59.807533,-11.367628,origen,18
614,-81.60562,-37.906322,adecuado,2
615,-77.82211,-30.619701,conservar,18
616,-99.59288,15.609844,filológico,8
617,-100.96868,7.240844,tratamiento,8
618,-82.25083,-13.249536,inicial,3
619,-43.77172,16.161907,reconocer,3
620,-52.17814,-56.401978,sintagma,14
621,-90.10008,38.91595,profesional,6
622,14.003134,76.84562,poder,5
623,-40.25662,11.135313,ocupar,9
624,-74.50874,-48.77152,estadístico,2
625,-84.81207,-42.603443,codificar,2
626,-70.30593,33.884598,llamado,3
627,-34.191227,-48.96054,sujeto,14
628,-59.533546,-10.143914,hipertexto,3
629,-89.6593,49.605885,europeo,0
630,-71.7665,27.67385,todavía,3
631,-58.81405,-33.535324,pequeño,18
632,-91.68568,-19.863762,decidir,2
633,-73.43777,-21.205637,fácil,9
634,-95.242035,-3.80648,cualitativo,13
635,-89.54321,21.100058,interacción,0
636,-99.46208,22.661095,bibliografía,15
637,25.21932,81.62707,curso,5
638,-102.74944,0.22314173,ampliar,8
639,75.203545,60.973347,individual,7
640,-26.371147,-45.030514,auto,14
641,-66.92892,-47.074764,rasgo,2
642,-68.19081,-47.90437,posteriormente,18
643,10.211792,72.15505,central,5
644,-18.459787,84.561356,torno,0
645,-46.206314,-59.718006,letra,14
646,-61.128742,18.224579,ordenador,3
647,-31.035547,-46.795403,posición,14
648,-50.208584,28.789759,comentario,3
649,-103.916695,-0.5828906,mejorar,8
650,-51.758373,-64.79838,frecuente,12
651,-88.57993,37.885876,participación,0
652,-76.84056,5.618154,buen,8
653,-84.08066,9.517774,aproximación,8
654,-32.43023,-20.51774,autoría,14
655,-58.56785,-53.18158,ocurrir,14
656,-69.65042,-12.353652,complejidad,18
657,-108.22168,-4.240471,gestión,6
658,-61.074425,50.596336,condición,3
659,-60.45607,-17.676552,conseguir,18
660,-55.38439,27.224474,conversión,3
661,-74.28884,25.611094,demostrar,8
662,-45.687702,-19.980461,conexión,18
663,-84.28262,44.827553,ciencia,0
664,-103.543945,-8.337043,procesamiento,13
665,-41.716644,-49.53788,noticia,14
666,-13.5497055,87.521965,global,5
667,-62.12414,-14.490528,duda,18
668,-58.191624,-66.05598,similitud,12
669,-43.18672,-20.173939,regla,19
670,-54.598152,-49.85388,clasificar,14
671,-67.471405,43.209663,falta,3
672,-43.203167,-24.839306,detalle,18
673,-87.77308,36.697075,formación,0
674,-64.099846,12.011276,reconocimiento,3
675,-73.46621,-18.576086,limitación,8
676,-94.56351,5.82478,modificar,8
677,-70.25541,43.76914,alcanzar,3
678,-99.09729,-11.727552,consultar,2
679,-18.428474,84.44183,territorio,5
680,-73.9805,-49.443848,clúster,2
681,-43.01293,22.537933,temática,19
682,-44.223038,-56.966743,positivo,14
683,-43.46238,25.484163,luego,3
684,-20.244501,94.371445,político,0
685,-63.226902,20.286446,intentar,3
686,-89.50502,19.711157,comprensión,8
687,45.538532,93.53836,to,10
688,-35.666115,-25.251154,relevancia,18
689,-86.27466,13.813238,instrumento,8
690,-70.50478,-45.428074,elección,18
691,-46.64664,32.065037,escala,3
692,-79.76532,-23.841118,volumen,18
693,-79.183395,-7.6342735,organizar,8
694,-103.18375,0.1780171,integrar,8
695,-81.8497,46.14032,aprendizaje,0
696,-36.34963,-33.188377,citado,14
697,-47.39825,-35.95934,detectar,18
698,-50.98833,16.351822,teatral,18
699,-73.09131,38.26205,alcance,3
700,-75.83139,-20.333961,funcionar,8
701,-59.39641,-48.00699,composición,2
702,-42.985737,-44.230804,vocabulario,18
703,-6.069483,99.60853,xx,4
704,-105.942375,-5.103969,programación,13
705,-74.97011,28.33593,generación,3
706,-85.32791,3.527136,esquema,3
707,-71.45738,47.305832,miembro,0
708,-59.627403,-51.334473,agrupación,14
709,-32.506573,24.617775,inscripción,19
710,-66.97243,-42.439484,espacial,18
711,-13.864313,75.4706,musical,5
712,-59.38179,-11.31386,efecto,18
713,-42.44974,0.17807497,llamar,19
714,-87.01091,16.17007,dispositivo,8
715,-74.86498,26.07186,hipótesis,3
716,-70.27732,-47.585094,cálculo,18
