label,x,y,size,level
Iglesia de San Nicolás (Bulgaria),-236,1451,1,2
Cukovets,-208,1464,1,2
Mérito (budismo),-194,1483,1,2
Debate del aborto,-211,1435,1,2
Zoocentrismo,-237,1474,1,2
Carácter moral,-187,1472,1,2
Ética situada,-214,1452,1,2
Núcleo moral,-277,1428,1,2
Wikisource,699,-354,3,2
Adolf Hitler,617,484,2.449489742783178,2
Aforista,1420,121,1.4142135623730951,2
Alice Ambrose,1405,119,1.4142135623730951,2
Argumento del lenguaje privado,1456,125,1.4142135623730951,2
BIBSYS,744,-82,3,2
Bautismo,-528,-417,2.449489742783178,2
Biblioteca Apostólica Vaticana,823,-183,3,2
Biblioteca Nacional (Argentina),954,-46,3,2
Biblioteca Nacional de Australia,753,-237,3,2
Biblioteca Nacional de Brasil,778,-391,3,2
Biblioteca Nacional de Chile,1023,-91,3,2
Biblioteca Nacional de México,1160,-283,1.7320508075688772,2
Biblioteca Nacional de la República Argentina,947,-58,3,2
Biblioteca Virtual Miguel de Cervantes,990,-174,3,2
Biblioteca de Cataluña,832,-282,3,2
Biblioteca de Grandes Pensadores,803,187,2.23606797749979,2
Biblioteca de Wren (Cambridge),1435,96,1.4142135623730951,2
Cambridge,1099,-123,2.449489742783178,2
Catolicismo,-121,-811,2.6457513110645907,2
CiNii,869,-147,3,2
Clarinete,1484,-196,1.7320508075688772,2
Concierto para piano para la mano izquierda (Ravel),1429,124,1.4142135623730951,2
Contradicción,1105,728,2,2
Cáncer de próstata,1397,114,1.4142135623730951,2
Círculo de Viena,1100,863,3,2
Deutsche Biographie,874,-24,3,2
Docente,1142,553,1.7320508075688772,2
Editorial Gredos,1167,-229,3,2
Editorial Trotta,-140,470,2.6457513110645907,2
Elizabeth Anscombe,1415,614,1.7320508075688772,2
Empirismo,757,450,3,2
Enciclopedia Treccani,351,-210,3,2
Epistemólogo,1386,107,1.4142135623730951,2
Escritor,1167,126,3,2
Europeana,996,-202,3,2
Fichero de Autoridades Virtual Internacional,559,-353,3,2
Filósofo,708,125,3,2
Forma lógica (proposición),1437,133,1.4142135623730951,2
Frank P. Ramsey,1239,408,2,2
George Moore,1391,101,1.4142135623730951,2
Gustav Klimt,846,-392,1.7320508075688772,2
Gustav Mahler,1471,-200,1.7320508075688772,2
Identidad (filosofía),1311,155,2,2
Idioma alemán,498,522,3,2
Iglesia católica,358,-287,3,2
Imperio austro-húngaro,1445,101,1.4142135623730951,2
Imperio austrohúngaro,1251,80,1.7320508075688772,2
Inglaterra,-38,-276,3,2
International Standard Name Identifier,593,-93,3,2
Investigaciones filosóficas,1052,916,2.23606797749979,2
Isomorfismo,1206,1223,2,2
Istituto Centrale per il Catalogo Unico,873,-82,3,2
Jesús Padilla Gálvez,1061,1380,2.23606797749979,2
John Maynard Keynes,1412,135,1.4142135623730951,2
Joseph Joachim,1393,129,1.4142135623730951,2
Juan Arnau,717,370,2,2
Juego del lenguaje (filosofía),1308,192,1.7320508075688772,2
Karl Wittgenstein,1445,127,1.4142135623730951,2
La escalera de Wittgenstein,1420,133,1.4142135623730951,2
Lingüista,1153,-280,1.7320508075688772,2
Los cuadernos azul y marrón,1411,102,1.4142135623730951,2
Lógico,1092,1096,3,2
Matemático,1170,946,2.449489742783178,2
Mathematics Genealogy Project,963,520,2.8284271247461903,2
Maurice Ravel,1420,110,1.4142135623730951,2
Mi lucha,1445,113,1.4142135623730951,2
Monopolio,-169,-446,2.23606797749979,2
Mánchester,689,-156,2.23606797749979,2
Nacionalidad austriaca,1402,130,1.4142135623730951,2
Nacionalidad británica,1219,520,1.7320508075688772,2
Open Library,794,-21,3,2
Paul Wittgenstein,1436,109,1.4142135623730951,2
Persée (portal),818,527,2.449489742783178,2
Piero Sraffa,1412,123,1.4142135623730951,2
Positivismo lógico,1050,955,2.6457513110645907,2
Pragmatismo,943,61,2.8284271247461903,2
Primera Guerra Mundial,-141,-127,3,2
Protestante,250,-85,1.7320508075688772,2
Protestantismo,-520,-399,3,2
Proyecto Gutenberg,1187,-102,3,2
Pueblo judío,-630,112,2.449489742783178,2
Reino Unido,-91,-149,3,2
Sajonia,1454,112,1.4142135623730951,2
Skjolden,1427,96,1.4142135623730951,2
Sobre la certeza,1429,136,1.4142135623730951,2
Suicidio,418,1,2.8284271247461903,2
Système universitaire de documentation,622,-369,3,2
Tabakalera,972,-107,3,2
Tautología,1278,1113,2.449489742783178,2
Tractatus logico-philosophicus,1211,844,2.6457513110645907,2
Trinity College (Cambridge),1205,615,2.23606797749979,2
Union List of Artist Names,744,-463,3,2
Universidad Técnica de Berlín,1438,121,1.4142135623730951,2
Universidad de Cambridge,443,-286,3,2
Universidad de Navarra,1429,107,1.4142135623730951,2
Viena,871,-240,2.449489742783178,2
Wiener Neustadt,1417,94,1.4142135623730951,2
Wittgenstein (desambiguación),1401,107,1.4142135623730951,2
Wittgenstein (película),1390,121,1.4142135623730951,2
Leopoldine Kalmus,1411,112,1.4142135623730951,2
Victoria University of Manchester,1403,96,1.4142135623730951,2
Algunos comentarios sobre lógica formal,1381,116,1.4142135623730951,2
Andreas Vesalio,-703,927,1,2
Anglicanismo,-749,-544,2.449489742783178,2
Aristocracia,-549,-233,3,2
Arteria,-847,1521,1.4142135623730951,2
Bachelor of Arts,-149,1000,1.7320508075688772,2
Batalla de Edgehill,-702,940,1,2
Biólogo,1173,1160,2.23606797749979,2
Calendario juliano,580,-565,2.23606797749979,2
Canadian Medical Association Journal,-715,955,1,2
Canterbury,0,-1407,2,2
Cardiología,-725,943,1,2
Carlos I de Inglaterra,-326,-406,2,2
Cerebro humano,-622,1611,2,2
Cesare Cremonini,-685,963,1,2
Circulación de la sangre,-666,934,1,2
Circulación sistémica,-654,931,1,2
Corazón,-675,1812,1.7320508075688772,2
Corazón humano,-839,1516,1.4142135623730951,2
Doctor en Medicina,-685,932,1,2
Embriología,-858,1525,1.4142135623730951,2
Folkestone,-665,926,1,2
Francis Bacon,613,40,3,2
Francis Glisson,-692,940,1,2
Frankfurt,-717,924,1,2
Gabriel Falopio,-692,947,1,2
Galeno,367,106,2.8284271247461903,2
Girolamo Fabrizi d'Acquapendente,-675,950,1,2
Gonville and Caius College,-657,939,1,2
Grammar school,845,-258,1.4142135623730951,2
Guerra Civil Inglesa,-728,935,1,2
Guerra de Sucesión de Mantua,-689,926,1,2
Harvey (cráter),-658,921,1,2
Hempstead,-675,927,1,2
Hipócrates,173,784,2.449489742783178,2
Hospital de San Bartolomé,-706,960,1,2
Hyeronimus Fabricius,-711,948,1,2
Hyeronimus Mercurialis,-702,954,1,2
Hígado,-858,1515,1.4142135623730951,2
Ibn Nafis,-562,1700,1.4142135623730951,2
"Jacobo Estuardo, duque de Richmond",-662,946,1,2
Jacobo I de Inglaterra,342,-1005,1.7320508075688772,2
Jacques Dubois,-678,915,1,2
Jean Riolan el Joven,-683,921,1,2
Kent,-320,-982,1.4142135623730951,2
Mateo Realdo Colombo,-525,1739,1.4142135623730951,2
Medicina,415,477,3,2
Merton College,255,-40,1.4142135623730951,2
Miguel Servet,-784,617,2,2
Museo Británico,607,-1205,2.449489742783178,2
Médico,-1178,213,2,2
Método científico,560,960,3,2
Ovocito,-668,917,1,2
Oxford,-916,315,1.7320508075688772,2
Oxford Dictionary of National Biography,-694,933,1,2
Paraninfo,-703,934,1,2
Paz,-214,774,1.7320508075688772,2
Peste,-709,921,1,2
Reino de Inglaterra,146,-1446,1.7320508075688772,2
Royal College of Physicians,-713,933,1,2
Sangre,-621,1819,2.449489742783178,2
Sistema circulatorio,-681,1804,1.7320508075688772,2
Universidad de Oxford,-381,72,3,2
