Id,Label,modularity_class,indegree,outdegree,degree,X,Y,Size,Color
25769092,emeziegler,50,1,6,7,0.557171,0.401538,0.001461,"#008bdd"
25832593,llmunro,12,3,3,6,0.342123,0.37456,0.000974,"#ff77ff"
26089319,readingmadrid,46,6,0,6,0.292321,0.473295,0.000974,"#3e93ff"
26124443,esteladomiha67,17,15,16,31,0.370615,0.557288,0.013151,"#3bec00"
26161340,valink,0,0,5,5,0.361929,0.430421,0.000487,"#3e93ff"
26277867,manuelramirez,46,78,31,109,0.42934,0.562584,0.051145,"#ffb800"
26308712,linhd,46,5,0,5,0.41996,0.522933,0.000487,"#ffb800"
26623537,vitormussa,39,12,6,18,0.398855,0.355251,0.006819,"#00e8b2"
26726848,patymurrieta,10,53,27,80,0.395517,0.43011,0.037019,"#00ed5d"
26729931,rtve,14,6,0,6,0.587668,0.496206,0.000974,"#b6cb00"
26988360,gabysued,17,262,27,289,0.363633,0.707408,0.138821,"#3bec00"
27001464,paolalorenzana,46,4,0,4,0.311655,0.644925,0,"#3bec00"
27015594,soni_sandeep,39,8,0,8,0.385876,0.35186,0.001948,"#00e8b2"
27255323,corinakoolen,46,6,3,9,0.366224,0.520795,0.002435,"#3e93ff"
27724657,lenofortal,39,0,5,5,0.416914,0.360583,0.000487,"#00e8b2"
27805363,lavivipineda,12,11,0,11,0.437475,0.339908,0.00341,"#ff77ff"
27807595,utpl,9,15,0,15,0.29563,0.055405,0.005358,"#ff7a78"
27838943,mpmorillo,46,0,10,10,0.426438,0.514215,0.002923,"#ffb800"
27919737,elcorreogallego,54,2,2,4,0.544427,0.540479,0,"#c6cc85"
28162462,villanelle_,46,0,4,4,0.321382,0.538109,0,"#3bec00"
28217357,UFSC,39,4,0,4,0.376467,0.318924,0,"#00e8b2"
28300172,EprintsELIS,39,3,1,4,0.566932,0.236284,0,"#00e8b2"
28313090,UDEP,19,9,0,9,0.61342,0.671753,0.002435,"#5456a6"
28330102,Iturbide,15,0,15,15,0.453084,0.543531,0.005358,"#8ecfec"
28335066,Nancydiana,46,6,9,15,0.392806,0.529992,0.005358,"#ffb800"
28372650,lcborges,46,1,6,7,0.440508,0.471866,0.001461,"#ffb800"
28690738,Mar_pecosa,46,1,14,15,0.431089,0.503053,0.005358,"#ffb800"
28980450,BegoCamblor,25,0,15,15,0.356105,0.52624,0.005358,"#ff0d69"
29069971,lilimelgar,1,4,0,4,0.353725,0.663991,0,"#ffb800"
29107948,carogruffat,17,10,5,15,0.349376,0.544919,0.005358,"#3bec00"
29144052,g_toro,48,0,11,11,0.392412,0.559239,0.00341,"#3bec00"
29173500,apermar,1,2,9,11,0.527071,0.522177,0.00341,"#008ebb"
29175728,mjordano,46,0,8,8,0.407143,0.605967,0.001948,"#ffb800"
29230621,ttasovac,46,10,2,12,0.417499,0.464134,0.003897,"#ffb800"
29420610,ARdelasH,15,47,7,54,0.508833,0.582109,0.024355,"#006032"
29497240,c_magro,15,5,9,14,0.439559,0.531546,0.004871,"#006032"
29500483,jccahuana,0,0,8,8,0.333976,0.426902,0.001948,"#3e93ff"
29750732,lululorena,10,5,5,10,0.301925,0.348522,0.002923,"#3bec00"
29815389,juliagiannella,39,9,4,13,0.371916,0.329975,0.004384,"#00e8b2"
29956706,diraquel,39,0,5,5,0.415189,0.44871,0.000487,"#00e8b2"
30223203,ramon3434,17,23,0,23,0.571284,0.620138,0.009255,"#008ebb"
30697822,radio3_rne,25,4,0,4,0.433373,0.600209,0,"#8ecfec"
31035700,cundurraga,0,1,5,6,0.193693,0.484753,0.000974,"#3bec00"
31130143,ozmosi,39,0,4,4,0.412137,0.320782,0,"#00e8b2"
31487056,lujoyglamour,15,0,4,4,0.539589,0.524359,0,"#006032"
31650488,lcodina,15,3,4,7,0.412089,0.555499,0.001461,"#006032"
31653862,vahidm,0,0,4,4,0.415314,0.47427,0,"#3e93ff"
31676814,JordiJubany,14,4,1,5,0.639289,0.175432,0.000487,"#b6cb00"
31731533,UAM_Madrid,49,44,4,48,0.488662,0.497716,0.021432,"#ffa64e"
32027153,faraondemetal,1,1,3,4,0.443906,0.4564,0,"#ff0d69"
32136778,univgirona,48,6,0,6,0.489242,0.543593,0.000974,"#ff0d69"
32202798,Xim_ena,0,9,14,23,0.358982,0.374589,0.009255,"#3e93ff"
32254788,reformacultura,0,8,2,10,0.294398,0.409837,0.002923,"#00ed5d"
32496255,MarthaGroMills,0,1,12,13,0.342083,0.486006,0.004384,"#3e93ff"
32926265,JoaquimPinheiro,37,0,5,5,0.513455,0.53568,0.000487,"#ffb800"
33214605,UIMP,48,18,3,21,0.480114,0.540772,0.008281,"#008ebb"
33310796,JohnPostill,46,2,4,6,0.333313,0.526594,0.000974,"#3bec00"
33370074,RenataFM,39,1,3,4,0.401099,0.295022,0,"#00e8b2"
33383694,amaliasl,0,22,15,37,0.293916,0.441816,0.016074,"#3e93ff"
33567456,jcordon,46,4,0,4,0.424396,0.603014,0,"#3bec00"
33593435,cgainza,10,96,46,142,0.269548,0.443033,0.067219,"#3bec00"
33632713,BlueBoxTraveler,12,0,4,4,0.35803,0.406802,0,"#ff77ff"
33636080,MaryVillam,10,3,2,5,0.237083,0.445204,0.000487,"#3bec00"
33650538,jimmy_medeiros,39,15,15,30,0.402663,0.372868,0.012664,"#00e8b2"
33667453,AlfredoNarvaez,0,0,11,11,0.392414,0.343404,0.00341,"#3e93ff"
33747454,leilavieira_31,0,5,5,10,0.281761,0.453428,0.002923,"#3e93ff"
33820442,luisenelias,22,32,3,35,0.352901,0.735064,0.0151,"#8ecfec"
33832669,jalonsoarevalo,48,206,3,209,0.460864,0.555902,0.099854,"#008ebb"
33947371,FreeBlackTX,12,24,2,26,0.288072,0.414519,0.010716,"#ff77ff"
33972897,utlibraries,12,5,0,5,0.311819,0.406081,0.000487,"#ff77ff"
34255829,AlbertoCairo,46,4,0,4,0.332358,0.540363,0,"#ffb800"
34587778,Bookess,15,4,0,4,0.517299,0.485859,0,"#ff0d69"
34588566,sergenoiret,48,2,2,4,0.440981,0.487485,0,"#00ed5d"
34606262,ULPGC,37,30,7,37,0.462555,0.583624,0.016074,"#ffb800"
34607715,HASTAC,12,40,6,46,0.284316,0.408818,0.020458,"#ff77ff"
34997892,oalcoba,14,5,0,5,0.61229,0.282161,0.000487,"#b6cb00"
34998963,Rosa152,50,13,18,31,0.665547,0.427512,0.013151,"#008bdd"
35032869,placasa,21,7,5,12,0.499914,0.445874,0.003897,"#ffa64e"
35035282,skuntzficker,26,4,0,4,0.323095,0.31802,0,"#3e93ff"
35043821,followlori,39,25,13,38,0.391192,0.24953,0.016561,"#00e8b2"
35201891,pluraleemsite,39,1,6,7,0.32743,0.229856,0.001461,"#00e8b2"
35343252,phelima,0,1,7,8,0.307177,0.433043,0.001948,"#3bec00"
35403297,thomasgpadilla,12,32,12,44,0.319669,0.476267,0.019484,"#ff77ff"
35423789,mikeasencio,42,1,5,6,0.325646,0.189979,0.000974,"#005076"
35594954,soyjlromo,0,0,4,4,0.410589,0.524672,0,"#3e93ff"
35619075,almaldo2,12,2,5,7,0.382357,0.406572,0.001461,"#3e93ff"
35669324,iniciador_grx,15,0,4,4,0.555501,0.542704,0,"#006032"
35716729,Bibliotecas_IC,1,29,8,37,0.410498,0.582558,0.016074,"#ffb800"
35804229,jenguiliano,12,22,5,27,0.279591,0.429993,0.011203,"#ff77ff"
35807391,behatriztejada,46,17,6,23,0.426757,0.558492,0.009255,"#ffb800"
35910512,diegocraig,46,1,14,15,0.347557,0.576093,0.005358,"#3bec00"
35915291,marianolegname,17,3,1,4,0.373287,0.626223,0,"#3bec00"
36020111,aprensamadrid,15,3,1,4,0.822188,0.714771,0,"#006032"
36107561,Abriluz,0,0,4,4,0.349883,0.421024,0,"#3e93ff"
36323374,radioeuskadi,48,4,0,4,0.53041,0.958627,0,"#008ebb"
36574766,lbros,35,5,0,5,0.236234,0.402311,0.000487,"#c42c63"
36584651,eliterature,12,1,4,5,0.330894,0.46767,0.000487,"#ff77ff"
36596919,ThaianeOliveira,39,12,9,21,0.418657,0.340303,0.008281,"#00e8b2"
36609284,rfagoaga,12,22,51,73,0.366618,0.413852,0.033609,"#3e93ff"
36841223,sidurti,0,0,7,7,0.409553,0.389139,0.001461,"#3e93ff"
36918338,enriquemuriel,39,2,3,5,0.408672,0.467102,0.000487,"#00e8b2"
37226526,julibergmann,0,10,19,29,0.392154,0.466521,0.012177,"#3e93ff"
37244784,juanfermejia,0,8,31,39,0.434064,0.459007,0.017048,"#3e93ff"
37255347,Abuela_Viajera,46,0,13,13,0.349782,0.535439,0.004384,"#3bec00"
37255419,jorvitali,17,3,2,5,0.456212,0.574706,0.000487,"#3bec00"
37283473,jaiderog,46,11,8,19,0.365795,0.561038,0.007306,"#3bec00"
37571068,lenguaaldia,46,3,3,6,0.332511,0.663901,0.000974,"#3bec00"
37864753,evasander,26,4,8,12,0.264943,0.343595,0.003897,"#3e93ff"
37940750,RicardoChew,26,6,1,7,0.33199,0.329213,0.001461,"#3e93ff"
38282454,EmilyDreyfuss,0,1,5,6,0.343971,0.463746,0.000974,"#3e93ff"
38471570,christianlamb,46,11,11,22,0.330542,0.457724,0.008768,"#3bec00"
38562659,leo_elo_ole,10,0,11,11,0.29031,0.473433,0.00341,"#3bec00"
38640768,lavozdegalicia,54,4,0,4,0.486596,0.43401,0,"#c6cc85"
38640989,PRCanfranc,1,1,10,11,0.343739,0.537164,0.00341,"#825403"
38701532,mujeresycia,46,3,4,7,0.500707,0.619697,0.001461,"#ffb800"
38722156,gersonbeltran,54,4,4,8,0.515574,0.496185,0.001948,"#c6cc85"
38829940,miss_celanica,10,1,3,4,0.404277,0.475372,0,"#00ed5d"
39033058,DavidNemer,39,8,0,8,0.405623,0.258118,0.001948,"#00e8b2"
39075275,virginiog,14,73,0,73,0.170794,0.237508,0.033609,"#b6cb00"
39079874,AliciaPomares,48,0,8,8,0.572532,0.565272,0.001948,"#008ebb"
39098763,IC_FormaELE,22,1,4,5,0.34769,0.707216,0.000487,"#8ecfec"
39134945,Giyuela,46,6,0,6,0.370901,0.527068,0.000974,"#3bec00"
39170141,rbnrmz,8,4,0,4,0.43825,0.21689,0,"#3e93ff"
39296194,eliasbitencourt,39,8,10,18,0.404296,0.357329,0.006819,"#00e8b2"
39306293,USouthFlorida,1,8,0,8,0.423024,0.565027,0.001948,"#ff12a3"
39462470,torcuataTK,48,1,6,7,0.496473,0.482045,0.001461,"#008ebb"
39518155,drdianis,9,7,4,11,0.325298,0.166896,0.00341,"#ff7a78"
39520766,todoele,28,4,0,4,0.415353,0.65187,0,"#8ecfec"
39585367,Harvard,0,8,0,8,0.425052,0.488519,0.001948,"#ff77ff"
39587698,uazlibraries,12,12,0,12,0.319114,0.422744,0.003897,"#00e8b2"
39765594,Ucen,46,10,1,11,0.308929,0.473363,0.00341,"#3bec00"
40090034,U_ElClaustro,36,27,4,31,0.297271,0.350146,0.013151,"#00e8b2"
40291830,rosguga,19,0,4,4,0.40634,0.418407,0,"#3e93ff"
40611055,karlamotte,0,3,7,10,0.368603,0.468419,0.002923,"#3e93ff"
40643519,carobotero,19,3,7,10,0.477202,0.417077,0.002923,"#00ed5d"
40953076,dustfruit,0,24,12,36,0.349992,0.437397,0.015587,"#3e93ff"
41190229,alestolk,50,2,2,4,0.494911,0.380594,0,"#825403"
41230160,RadioEducacion,26,18,1,19,0.3165,0.664405,0.007306,"#3e93ff"
41274437,frioconbotas,46,5,3,8,0.301429,0.543966,0.001948,"#3bec00"
41329328,euskaltelebista,48,0,4,4,0.515365,0.912688,0,"#008ebb"
41346792,michiganstateu,0,5,0,5,0.405899,0.432855,0.000487,"#ff77ff"
41371853,Argensola,0,10,51,61,0.382528,0.474354,0.027764,"#3e93ff"
41430015,jiesot,0,0,4,4,0.33705,0.393595,0,"#3e93ff"
41569514,elisabeleta,48,1,10,11,0.431991,0.530192,0.00341,"#008ebb"
41649711,ricvargasmed,46,5,0,5,0.328767,0.550655,0.000487,"#3bec00"
41824898,laurenfklein,39,12,4,16,0.371274,0.362689,0.005845,"#00e8b2"
41830883,limboctante,48,10,0,10,0.516788,0.555856,0.002923,"#008ebb"
41851448,nexosmexico,36,26,0,26,0.552791,0.780197,0.010716,"#3bec00"
41965769,DanielPaulOD,10,20,8,28,0.32749,0.484397,0.01169,"#00ed5d"
42070947,jgob,12,33,31,64,0.33101,0.445998,0.029226,"#ff77ff"
42399225,AgenciaFAPESP,39,6,3,9,0.39299,0.200478,0.002435,"#00e8b2"
42648852,yierva,0,172,222,394,0.400105,0.452912,0.189966,"#3e93ff"
42664928,elcolef,35,7,2,9,0.297911,0.411011,0.002435,"#c42c63"
43167222,zeroig,39,7,1,8,0.517386,0.363039,0.001948,"#00e8b2"
43262326,AAHD,46,11,0,11,0.382655,0.557413,0.00341,"#3bec00"
43323995,albertmeronyo,12,0,5,5,0.423573,0.450869,0.000487,"#ff77ff"
43339914,Sabersinfin,11,4,1,5,0.136835,0.628057,0.000487,"#f4a2ff"
43372273,museonacionalco,19,9,3,12,0.441082,0.405306,0.003897,"#00ed5d"
43379739,mariajoafana,12,300,131,431,0.401914,0.437912,0.207988,"#ff77ff"
43664690,CCCBLab,48,87,17,104,0.518161,0.503941,0.048709,"#ff0d69"
43720617,joseragas,10,12,8,20,0.324615,0.424451,0.007793,"#00ed5d"
43744273,PublicaHistoria,39,2,27,29,0.426328,0.393087,0.012177,"#00e8b2"
43897160,angelespedro,46,4,2,6,0.162725,0.604858,0.000974,"#3bec00"
44046272,blros,35,32,23,55,0.271057,0.41287,0.024842,"#c42c63"
44077581,DX_Esau,15,0,8,8,0.432102,0.490346,0.001948,"#006032"
44151017,Uniandes,12,165,4,169,0.432626,0.392417,0.08037,"#ff77ff"
44318238,mediamusea,15,15,5,20,0.530496,0.548911,0.007793,"#006032"
44379247,michellerserra,1,2,3,5,0.671388,0.4972,0.000487,"#008ebb"
44410209,JuanSteyn,0,0,8,8,0.390704,0.443428,0.001948,"#3e93ff"
44645190,equihua_sm,46,1,3,4,0.354791,0.517265,0,"#3bec00"
44656990,NoloDz,0,1,6,7,0.389959,0.413419,0.001461,"#3e93ff"
44732763,daniel_edutic,0,0,5,5,0.425893,0.443178,0.000487,"#3e93ff"
44946138,ScienceSergio,0,0,10,10,0.42377,0.496396,0.002923,"#3e93ff"
44953355,ocorcho,48,3,3,6,0.489175,0.617123,0.000974,"#008ebb"
45262818,grupobaratz,48,6,1,7,0.386747,0.599987,0.001461,"#8ecfec"
45518743,florasanz,46,0,4,4,0.442274,0.588663,0,"#ffb800"
45554558,morenomulas,28,3,13,16,0.390957,0.578468,0.005845,"#8ecfec"
45816279,octsi,37,0,5,5,0.490476,0.663363,0.000487,"#ffb800"
45825302,bibliotecaaxarq,28,2,5,7,0.408842,0.568232,0.001461,"#8ecfec"
