Source,Target,Type,Id,Label,Weight,Color
455605329,507482535,Directed,25305,,2,"#000000"
455605329,529039861,Directed,25306,,1,"#000000"
455605329,535658941,Directed,25307,,1,"#000000"
455605329,540098505,Directed,25308,,3,"#000000"
455605329,561850028,Directed,25309,,3,"#000000"
455605329,582938117,Directed,25310,,1,"#000000"
455605329,607602141,Directed,25311,,6,"#000000"
455605329,612026965,Directed,25312,,3,"#000000"
455605329,733092900,Directed,25313,,7,"#000000"
455605329,856152912,Directed,25314,,1,"#000000"
455605329,867527137,Directed,25315,,1,"#000000"
455605329,937669512,Directed,25316,,1,"#000000"
455605329,957509173,Directed,25317,,2,"#000000"
455605329,970731607,Directed,25318,,2,"#000000"
455605329,992977134,Directed,25319,,22,"#000000"
455605329,1125796202,Directed,25320,,2,"#000000"
455605329,1170404948,Directed,25321,,3,"#000000"
455605329,1203827234,Directed,25322,,1,"#000000"
455605329,1222308966,Directed,25323,,4,"#000000"
455605329,1271766630,Directed,25324,,1,"#000000"
455605329,1278418008,Directed,25325,,1,"#000000"
455605329,1346503532,Directed,25326,,1,"#000000"
455605329,1407376640,Directed,25327,,1,"#000000"
455605329,1417666956,Directed,25328,,3,"#000000"
455605329,1427460212,Directed,25329,,1,"#000000"
455605329,1434359630,Directed,25330,,3,"#000000"
455605329,1462609603,Directed,25331,,12,"#000000"
455605329,1488375698,Directed,25332,,35,"#000000"
