Source,Target,Type,Id,Label,Weight
8087392,2375696683,Directed,581,,2
8087392,2857319315,Directed,582,,49
8087392,2881373775,Directed,583,,4
8087392,3143096086,Directed,584,,3
8087392,3195485187,Directed,585,,1
8087392,3221374863,Directed,586,,1
8087392,3278787810,Directed,587,,1
8087392,3389486200,Directed,588,,1
8087392,725445697382809600,Directed,590,,24
8087392,855336729850421248,Directed,591,,1
8087392,956187441857290242,Directed,592,,1
8087392,1302422896644632577,Directed,595,,1
8097602,15475282,Directed,598,,1
8097602,17025735,Directed,599,,1
8097602,74683881,Directed,600,,2
8097602,110465562,Directed,601,,1
8097602,269684186,Directed,602,,1
8097602,434968866,Directed,603,,1
8097602,607602141,Directed,604,,1
8097602,616462345,Directed,605,,1
8097602,1488375698,Directed,606,,1
8097602,2374479512,Directed,607,,1
8097602,804632977519112192,Directed,608,,1
8099802,8099802,Directed,611,,1
8099802,15233333,Directed,612,,1
8099802,91927275,Directed,613,,1
8099802,143559488,Directed,614,,1
8099802,155733520,Directed,615,,1
8099802,183969483,Directed,616,,1
8099802,2375696683,Directed,617,,1
8099802,902968555855003648,Directed,618,,1
8301552,8301552,Directed,620,,1
8301552,9276252,Directed,621,,1
8301552,13257922,Directed,622,,1
8301552,90549534,Directed,623,,1
8301552,158445401,Directed,624,,1
8301552,262332862,Directed,625,,1
8301552,1170404948,Directed,626,,1
8301552,1523270480,Directed,627,,1
8536532,87918200,Directed,635,,1
8536532,154244633,Directed,636,,1
8536532,607602141,Directed,637,,1
8536532,1434359630,Directed,638,,1
8536532,2439975073,Directed,639,,1
8627932,8087392,Directed,641,,2
8627932,8627932,Directed,642,,1
8627932,17025362,Directed,643,,1
8627932,19002571,Directed,644,,1
8627932,56957909,Directed,645,,1
8627932,531146065,Directed,646,,1
8627932,2857319315,Directed,647,,1
8627932,855336729850421248,Directed,648,,1
8639402,122353251,Directed,649,,1
8639402,157925546,Directed,650,,1
8639402,437837999,Directed,651,,1
8639402,508573682,Directed,652,,1
8639402,2375696683,Directed,653,,1
8639402,704613732614344704,Directed,654,,2
8729462,135828994,Directed,658,,1
8742642,8742642,Directed,659,,2
8742642,28335066,Directed,660,,1
8742642,264435668,Directed,662,,1
8742642,284642077,Directed,663,,1
8742642,376750874,Directed,664,,1
8742642,437837999,Directed,665,,2
8742642,987323496,Directed,666,,1
8742642,1434359630,Directed,667,,2
8742642,2375696683,Directed,668,,3
8742642,2919398071,Directed,669,,1
8816652,304338078,Directed,674,,1
8816652,1172871680,Directed,675,,1
8816652,1461763134,Directed,676,,1
8816652,719816239124783105,Directed,677,,1
8816652,823187349228154881,Directed,678,,1
8831402,8831402,Directed,680,,1
8831402,1243236136765489152,Directed,681,,1
8874622,712963,Directed,682,,3
8874622,241116398,Directed,684,,1
8874622,622908793,Directed,685,,1
8874622,2168288684,Directed,686,,1
9276252,8301552,Directed,696,,1
9276252,9276252,Directed,697,,3
9276252,17152842,Directed,699,,1
9276252,17508247,Directed,700,,6
9276252,17777882,Directed,701,,1
9276252,17872758,Directed,702,,1
9276252,44953355,Directed,706,,1
9276252,85343435,Directed,708,,1
9276252,89472246,Directed,709,,1
9276252,91927275,Directed,710,,1
9276252,107051182,Directed,711,,9
9276252,123949057,Directed,712,,1
9276252,125391822,Directed,713,,3
9276252,125733124,Directed,714,,1
9276252,137273883,Directed,715,,1
9276252,162667212,Directed,716,,1
9276252,171047449,Directed,717,,1
9276252,183420811,Directed,718,,2
9276252,188725330,Directed,719,,1
9276252,191143493,Directed,720,,1
9276252,227264918,Directed,721,,2
9276252,241496609,Directed,722,,1
9276252,275092678,Directed,723,,2
9276252,289601740,Directed,725,,1
9276252,296950170,Directed,726,,1
9276252,300407444,Directed,727,,1
9276252,331064775,Directed,730,,1
9276252,352053266,Directed,731,,1
9276252,437837999,Directed,733,,2
9276252,471926670,Directed,734,,1
9276252,507482535,Directed,735,,3
9276252,529039861,Directed,736,,1
9276252,588197195,Directed,737,,2
9276252,789503900,Directed,738,,2
9276252,1139244198,Directed,739,,1
9276252,1434359630,Directed,740,,1
9276252,1523270480,Directed,741,,1
9276252,1854809810,Directed,742,,2
9276252,2196019344,Directed,744,,1
9276252,2294164837,Directed,745,,1
9276252,2375696683,Directed,746,,1
9276252,2596061704,Directed,748,,7
9276252,2863217422,Directed,749,,1
9276252,3003645287,Directed,750,,4
9276252,735059281494544384,Directed,753,,61
9276252,865014834143928322,Directed,754,,35
9276252,1267475661280677888,Directed,755,,10
9276252,737252789949190149,Directed,756,,1
9276252,1101092269044785152,Directed,757,,1
9276252,848222675227070464,Directed,759,,10
9276252,719816239124783105,Directed,761,,1
9276252,829749537233330176,Directed,762,,1
9276252,861502060646346752,Directed,763,,1
9276252,704613732614344704,Directed,765,,3
9276252,744635256574218240,Directed,766,,1
9276252,804632977519112192,Directed,769,,2
9546132,14573832,Directed,775,,1
9546132,58073253,Directed,776,,1
9546132,82889243,Directed,777,,1
9546132,166030592,Directed,778,,1
9546132,607602141,Directed,779,,3
9557662,43379739,Directed,780,,2
9557662,572136250,Directed,783,,1
9590442,17572957,Directed,787,,1
9590442,26988360,Directed,788,,1
9590442,284734969,Directed,789,,2
9590442,555099241,Directed,790,,2
9590442,1093882399459590149,Directed,791,,1
9751592,168636686,Directed,795,,1
9751592,516158050,Directed,796,,3
9758512,12632702,Directed,797,,1
9758512,29420610,Directed,798,,1
9758512,3122283251,Directed,799,,1
9758512,956187441857290242,Directed,800,,1
9785862,2953551,Directed,804,,1
9785862,56812711,Directed,805,,1
9785862,607602141,Directed,806,,1
9846452,17508247,Directed,808,,1
9846452,19705196,Directed,809,,1
9846452,22809165,Directed,810,,1
9846452,26726848,Directed,811,,1
9846452,56957909,Directed,812,,1
9846452,64939623,Directed,813,,1
9846452,74683881,Directed,814,,2
9846452,121398330,Directed,815,,1
9846452,331064775,Directed,816,,1
9846452,595588585,Directed,817,,4
9846452,1017461527,Directed,818,,2
9846452,1488375698,Directed,819,,2
9846452,1548791382,Directed,820,,1
9846452,2374479512,Directed,821,,2
9846452,2827395683,Directed,822,,15
9846452,1153228268532830211,Directed,823,,1
9846452,1113035931014049792,Directed,824,,1
9846452,804632977519112192,Directed,825,,2
9846452,733704319833346050,Directed,826,,1
9894072,36596919,Directed,828,,2
9894072,49541564,Directed,829,,1
9894072,52634100,Directed,830,,2
9894072,331195870,Directed,831,,1
9894072,1217118984,Directed,832,,1
9894072,3773726002,Directed,833,,1
9894072,963273918336458752,Directed,834,,1
10135862,701967595,Directed,840,,1
10135862,1423291747438714891,Directed,841,,1
10162032,16656420,Directed,842,,1
10162032,164290943,Directed,843,,1
10162032,399710646,Directed,844,,1
10162032,607602141,Directed,845,,1
10162032,701967595,Directed,846,,1
10162032,1298687874112671751,Directed,847,,1
10162032,1237515474755375104,Directed,848,,1
10164002,14606609,Directed,849,,1
10164002,437837999,Directed,850,,1
10164002,2422171706,Directed,851,,1
10164002,733704319833346050,Directed,852,,1
10164002,795616618286092288,Directed,853,,1
10278552,14215044,Directed,858,,1
10278552,90598880,Directed,859,,1
10278552,284642077,Directed,860,,2
10278552,1962476652,Directed,861,,1
10278552,2957474806,Directed,862,,1
10342242,3122211,Directed,864,,1
10342242,6643882,Directed,865,,1
10342242,9758512,Directed,866,,1
10342242,17508247,Directed,867,,1
10342242,19919242,Directed,868,,1
10342242,41830883,Directed,869,,1
10342242,54237742,Directed,870,,1
10342242,56447221,Directed,871,,1
10342242,74683881,Directed,872,,1
10342242,108648804,Directed,873,,1
10342242,188653902,Directed,874,,1
10342242,301945604,Directed,875,,1
10342242,437837999,Directed,876,,1
10342242,867527137,Directed,877,,1
10342242,1488375698,Directed,878,,1
10342242,2375696683,Directed,879,,6
10342242,2857319315,Directed,880,,3
10342242,3313961901,Directed,881,,1
10342242,956187441857290242,Directed,883,,1
10342242,725445697382809600,Directed,884,,1
10342242,772719688497434624,Directed,885,,1
10397822,14086852,Directed,889,,1
10397822,46667480,Directed,890,,1
10397822,331064775,Directed,891,,2
10397822,574030246,Directed,892,,1
10397822,2422171706,Directed,893,,1
10397822,733704319833346050,Directed,894,,1
10535552,10535552,Directed,899,,3
10535552,12035172,Directed,900,,3
10535552,33593435,Directed,902,,3
10535552,58073253,Directed,903,,1
10535552,96683447,Directed,904,,1
10535552,399710646,Directed,905,,1
10535552,607602141,Directed,906,,1
10535552,4048650860,Directed,907,,1
10535552,1127720139682668544,Directed,908,,1
10535552,798165447300485121,Directed,910,,1
10535552,851506489906933760,Directed,911,,1
10535552,804632977519112192,Directed,912,,1
10602772,11919222,Directed,913,,1
10602772,19392745,Directed,915,,5
10609732,75085818,Directed,919,,1
10609732,974448919269822464,Directed,921,,10
10805852,18102873,Directed,928,,1
10863952,82889243,Directed,929,,1
10863952,196384173,Directed,930,,1
10863952,331064775,Directed,931,,1
10863952,607602141,Directed,932,,1
11025592,3122211,Directed,935,,2
11025592,9758512,Directed,936,,1
11025592,12725692,Directed,937,,1
11025592,14526209,Directed,938,,1
11025592,15181766,Directed,939,,1
11025592,16571064,Directed,940,,9
11025592,17490510,Directed,941,,1
11025592,42648852,Directed,942,,11
11025592,54237742,Directed,943,,1
11025592,94265190,Directed,944,,1
11025592,108648804,Directed,945,,1
11025592,120058741,Directed,946,,1
11025592,152017988,Directed,947,,1
11025592,236624354,Directed,948,,1
11025592,276091520,Directed,949,,1
11025592,287659745,Directed,950,,1
11025592,331064775,Directed,951,,10
11025592,448091508,Directed,952,,1
11025592,471926670,Directed,953,,1
11025592,472217141,Directed,954,,1
11025592,574030246,Directed,955,,1
11025592,622908793,Directed,956,,1
11025592,1170404948,Directed,957,,1
11025592,1205470920,Directed,958,,1
11025592,2422171706,Directed,959,,1
11025592,2841915940,Directed,960,,1
11025592,3035004182,Directed,961,,1
11025592,1306286577820327937,Directed,962,,1
11025592,751092352320667649,Directed,963,,1
11025592,966406486766292992,Directed,964,,1
11025592,847045340167589888,Directed,965,,1
11025592,956187441857290242,Directed,966,,1
11025592,1065381758286336000,Directed,967,,1
11025592,902968555855003648,Directed,968,,1
11112192,437837999,Directed,976,,2
11112192,1434359630,Directed,977,,2
11297602,3122211,Directed,981,,1
11297602,9758512,Directed,982,,1
11297602,54237742,Directed,983,,1
11297602,108648804,Directed,984,,1
11297602,956187441857290242,Directed,985,,1
11327242,11327242,Directed,988,,1
11327242,14960548,Directed,989,,1
11327242,15993641,Directed,990,,1
11327242,17508247,Directed,991,,2
11327242,19717756,Directed,992,,1
11327242,180810338,Directed,993,,1
11327242,414496177,Directed,994,,1
11327242,455605329,Directed,995,,1
11327242,494325431,Directed,996,,1
11327242,3366253096,Directed,997,,1
11332442,11084,Directed,998,,1
11332442,9893772,Directed,999,,2
11332442,11332442,Directed,1000,,3
11332442,15468474,Directed,1001,,2
11332442,15762276,Directed,1002,,3
11332442,16571064,Directed,1003,,1
11332442,26277867,Directed,1004,,2
11332442,35716729,Directed,1005,,1
11332442,42648852,Directed,1006,,2
11332442,43379739,Directed,1007,,2
11332442,58073253,Directed,1008,,5
11332442,58291700,Directed,1009,,1
11332442,59805032,Directed,1010,,1
11332442,64245814,Directed,1011,,3
11332442,66942912,Directed,1012,,1
11332442,67420860,Directed,1013,,3
11332442,73749456,Directed,1014,,1
11332442,75085818,Directed,1015,,1
11332442,77185791,Directed,1016,,1
11332442,80386427,Directed,1017,,1
11332442,80871603,Directed,1018,,1
11332442,82409699,Directed,1019,,1
11332442,82889243,Directed,1020,,2
11332442,87918200,Directed,1021,,4
11332442,89718182,Directed,1022,,1
11332442,104894644,Directed,1023,,2
11332442,110465562,Directed,1024,,2
11332442,115416310,Directed,1025,,4
11332442,135828994,Directed,1026,,1
11332442,144804999,Directed,1027,,1
11332442,147319561,Directed,1028,,1
11332442,167142337,Directed,1029,,1
11332442,180298000,Directed,1030,,3
11332442,188405911,Directed,1031,,1
11332442,195811909,Directed,1032,,1
11332442,226212235,Directed,1033,,1
11332442,255681367,Directed,1034,,3
11332442,272280643,Directed,1035,,2
11332442,289601740,Directed,1037,,1
11332442,311640613,Directed,1038,,1
11332442,321449115,Directed,1039,,1
11332442,331064775,Directed,1040,,83
11332442,331195870,Directed,1041,,1
11332442,339826785,Directed,1042,,1
11332442,382102378,Directed,1043,,1
11332442,399710646,Directed,1044,,2
11332442,414496177,Directed,1045,,1
11332442,422721396,Directed,1046,,1
11332442,437660451,Directed,1047,,2
11332442,455605329,Directed,1048,,4
11332442,477728660,Directed,1049,,1
11332442,488951611,Directed,1050,,1
11332442,498162955,Directed,1051,,2
11332442,548901829,Directed,1052,,1
11332442,561850028,Directed,1053,,1
11332442,574030246,Directed,1054,,3
11332442,607602141,Directed,1055,,23
11332442,612026965,Directed,1056,,1
11332442,628606004,Directed,1057,,1
11332442,743775992,Directed,1058,,1
11332442,957509173,Directed,1059,,1
11332442,1125796202,Directed,1060,,2
11332442,1170404948,Directed,1061,,1
11332442,1251549229,Directed,1062,,1
11332442,1286800148,Directed,1063,,1
11332442,1434359630,Directed,1064,,6
11332442,1462609603,Directed,1065,,6
11332442,1463170988,Directed,1066,,1
11332442,1473434310,Directed,1067,,1
11332442,1488375698,Directed,1068,,8
11332442,2168288684,Directed,1069,,1
11332442,2289835369,Directed,1070,,1
11332442,2375696683,Directed,1072,,8
11332442,2422171706,Directed,1073,,3
11332442,3035264968,Directed,1075,,1
11332442,940970240279801861,Directed,1076,,31
11332442,911193053641273344,Directed,1077,,3
